ID,TYPE,TARGET
21917,AVK Access Point,48
21994,AVK Access Point,48
22010,AVK Access Point,48
21973,AVK Access Point,48
22058,AVK Access Point,48
22047,AVK Access Point,48
21861,AVK Access Point,48
18119,AVK Printer,71
18180,AVK UPS,29
18181,AVK UPS,29
21829,AVK Access Point,48
21832,AVK Access Point,48
21876,AVK Access Point,48
21983,AVK Access Point,48
21909,AVK Access Point,48
21942,AVK Access Point,48
22049,AVK Access Point,48
21901,AVK Access Point,48
22035,AVK Access Point,48
22120,AVK Access Point,48
22055,AVK Access Point,48
21895,AVK Access Point,48
22074,AVK Access Point,48
22098,AVK Access Point,48
22119,AVK Access Point,48
22009,AVK Access Point,48
21998,AVK Access Point,48
22005,AVK Access Point,48
21841,AVK Access Point,48
21955,AVK Access Point,48
21965,AVK Access Point,48
21951,AVK Access Point,48
21867,AVK Access Point,48
21897,AVK Access Point,48
22013,AVK Access Point,48
21927,AVK Access Point,48
21932,AVK Access Point,48
21912,AVK Access Point,48
21894,AVK Access Point,48
21871,AVK Access Point,48
22143,AVK Access Point,48
21962,AVK Access Point,48
21988,AVK Access Point,48
22051,AVK Access Point,48
22093,AVK Access Point,48
21828,AVK Access Point,48
21995,AVK Access Point,48
21877,AVK Access Point,48
22090,AVK Access Point,48
21899,AVK Access Point,48
21849,AVK Access Point,48
21957,AVK Access Point,48
21875,AVK Access Point,48
22087,AVK Access Point,48
22083,AVK Access Point,48
22113,AVK Access Point,48
22082,AVK Access Point,48
22036,AVK Access Point,48
21991,AVK Access Point,48
22019,AVK Access Point,48
21862,AVK Access Point,48
21989,AVK Access Point,48
22115,AVK Access Point,48
22076,AVK Access Point,48
22034,AVK Access Point,48
21913,AVK Access Point,48
21839,AVK Access Point,48
21858,AVK Access Point,48
21992,AVK Access Point,48
21854,AVK Access Point,48
22033,AVK Access Point,48
21935,AVK Access Point,48
22099,AVK Access Point,48
21896,AVK Access Point,48
22100,AVK Access Point,48
21857,AVK Access Point,48
22094,AVK Access Point,48
22042,AVK Access Point,48
22028,AVK Access Point,48
21920,AVK Access Point,48
22141,AVK Access Point,48
22030,AVK Access Point,48
22110,AVK Access Point,48
21941,AVK Access Point,48
22000,AVK Access Point,48
